,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed"
07/30/2015 22:48:00,15.625,18.75,14.0625,34.375,20.703125,52,58,50,56,58,4090.52637,4090.52637,4090.52637,4090.52637,50.9713554,32.5588264,2.27657223,2.86335421,99.7689362
07/30/2015 22:48:01,3.125,3.125,0,3.125,2.34375,48,48,47,49,49,4090.5293,4090.5293,4090.5293,4090.5293,40.69296,17.63326,2.82902384,2.52998829,99.7690048
07/30/2015 22:48:02,0,0,3.125,4.6875,1.953125,48,49,47,50,50,4090.52832,4090.52832,4090.52832,4090.52832,40.1370049,17.0531178,2.80161119,2.50932312,99.76898
07/30/2015 22:48:03,1.5625,0,0,0,0.390625,47,48,47,49,50,4090.52759,4090.52759,4090.52759,4090.52759,40.455246,17.5067081,2.766394,2.514937,99.76897
07/30/2015 22:48:04,1.5625,1.5625,0,1.5625,1.171875,47,48,47,49,50,4090.528,4090.528,4090.528,4090.528,40.6441231,17.7929668,2.74737048,2.51918554,99.7689743
07/30/2015 22:48:05,25,25,20.3125,32.8125,25.78125,54,50,49,54,54,4090.528,4090.528,4090.528,4090.528,55.30624,37.48388,2.11030459,2.86551619,99.76898
07/30/2015 22:48:06,18.75,6.25,18.75,70.3125,28.515625,50,51,49,59,60,4090.529,4090.529,4090.529,4090.529,58.70033,43.57282,1.80931342,2.72449279,99.7690048
07/30/2015 22:48:07,3.125,4.6875,3.125,14.0625,6.25,51,49,47,57,57,4090.52832,4090.52832,4090.52832,4090.52832,45.3464775,24.0111332,2.57972145,2.55828643,99.76898
07/30/2015 22:48:08,50,3.125,1.5625,48.4375,25.78125,56,51,49,51,56,4090.52832,4090.52832,4090.52832,4090.52832,57.3562927,42.13136,1.8137182,2.61795831,99.76898
07/30/2015 22:48:09,34.375,6.25,4.6875,60.9375,26.5625,57,50,49,53,57,4090.52881,4090.52881,4090.52881,4090.52881,57.4780655,42.2846222,1.82730031,2.61639237,99.769
07/30/2015 22:48:10,34.375,26.5625,12.5,59.375,33.203125,54,52,49,59,58,4090.528,4090.528,4090.528,4090.528,61.3365822,46.57526,1.77577722,2.71200347,99.76898
07/30/2015 22:48:11,42.1875,3.125,4.6875,56.25,26.5625,52,51,50,59,59,4090.52759,4090.52759,4090.52759,4090.52759,58.16006,42.9964676,1.833079,2.64408445,99.76897
07/30/2015 22:48:12,35.9375,4.6875,7.8125,56.25,26.171875,50,52,48,60,57,4090.529,4090.529,4090.529,4090.529,58.1818542,42.94331,1.84548819,2.636368,99.7690048
07/30/2015 22:48:13,37.5,10.9375,1.5625,53.125,25.78125,51,59,49,56,56,4090.52783,4090.52783,4090.52783,4090.52783,57.72014,42.4845848,1.84042561,2.62910962,99.7689743
07/30/2015 22:48:14,40.625,3.125,3.125,59.375,26.5625,51,52,49,59,58,4090.52832,4090.52832,4090.52832,4090.52832,57.7302361,42.454567,1.84965825,2.623677,99.76898
07/30/2015 22:48:15,42.1875,1.5625,4.6875,53.125,25.390625,52,51,49,59,57,4090.52783,4090.52783,4090.52783,4090.52783,57.5510445,42.28679,1.84736252,2.61834955,99.7689743
07/30/2015 22:48:16,40.625,9.375,4.6875,51.5625,26.5625,51,51,49,58,57,4090.5293,4090.5293,4090.5293,4090.5293,57.72253,42.4832077,1.84733486,2.63448834,99.76901
07/30/2015 22:48:17,39.0625,6.25,1.5625,56.25,25.78125,58,51,48,53,58,4090.52734,4090.52734,4090.52734,4090.52734,57.48256,42.2263336,1.85174847,2.6128962,99.76896
07/30/2015 22:48:18,56.25,10.9375,4.6875,37.5,27.34375,57,50,50,52,57,4090.528,4090.528,4090.528,4090.528,58.29047,43.04539,1.85073137,2.6753056,99.7689743
07/30/2015 22:48:19,71.875,6.25,4.6875,25,26.953125,57,51,49,53,57,4090.529,4090.529,4090.529,4090.529,58.0841827,42.8407326,1.84936547,2.63973737,99.769
07/30/2015 22:48:20,75,3.125,6.25,26.5625,27.734375,58,51,50,53,58,4090.52856,4090.52856,4090.52856,4090.52856,57.9390259,42.6234779,1.87118983,2.63778543,99.76899
07/30/2015 22:48:21,40.625,6.25,6.25,56.25,27.34375,51,51,48,59,57,4090.52783,4090.52783,4090.52783,4090.52783,57.9372978,42.6708946,1.85711074,2.63367414,99.7689743
