,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/clock/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","Bus Speed"
09/25/2015 21:54:34,0,1.53846157,0.7692308,0.7692308,0.7692308,48,49,51,48,1197.021,1197.021,1197.021,1197.021,133.002335
09/25/2015 21:54:39,0,6.15384626,0,0.7692308,1.73076928,49,50,50,50,1197.02075,1197.02075,1197.02075,1197.02075,133.0023
09/25/2015 21:54:44,6.15384626,10,4.61538458,3.07692313,5.96153831,51,52,52,51,1197.021,1197.021,1197.021,1197.021,133.002335
09/25/2015 21:54:49,2.30769229,3.84615374,3.07692313,1.53846157,2.69230771,55,56,55,54,2926.05151,2926.05151,2926.05151,2926.05151,133.002335
09/25/2015 21:54:54,0,3.07692313,0,0.7692308,0.961538434,49,50,51,49,1197.02112,1197.02112,1197.02112,1197.02112,133.00235
09/25/2015 21:54:59,0,1.53846157,0.7692308,0,0.5769231,49,49,51,48,1197.021,1197.021,1197.021,1197.021,133.002319
09/25/2015 21:55:04,5.38461542,7.69230747,7.69230747,6.15384626,6.730769,52,52,53,52,1197.02087,1197.02087,1197.02087,1330.02319,133.002319
09/25/2015 21:55:09,0,0,0,0.7692308,0.1923077,49,49,50,49,1197.021,1197.021,1197.021,1197.021,133.002319
09/25/2015 21:55:14,0,4.61538458,1.53846157,0.7692308,1.73076928,51,48,51,48,1197.021,1197.021,1197.021,1197.021,133.002335
09/25/2015 21:55:19,7.69230747,6.25,3.84615374,6.923077,6.17788458,51,51,52,49,1197.02087,1197.02087,1197.02087,1197.02087,133.002319
09/25/2015 21:55:24,0,0,1.53846157,0.7692308,0.5769231,48,48,50,49,1197.02087,1197.02087,1197.02087,1197.02087,133.002319
09/25/2015 21:55:30,0.7692308,0,0,0.7692308,0.3846154,49,49,50,48,1197.02136,1197.02136,1197.02136,1197.02136,133.00238
09/25/2015 21:55:35,9.230769,7.69230747,6.15384626,4.61538458,6.923077,49,49,51,50,1197.02124,1197.02124,1197.02124,1197.02124,133.002365
09/25/2015 21:55:40,0,0.7692308,0,0.7692308,0.3846154,49,49,51,48,1197.02124,1197.02124,1197.02124,1197.02124,133.002365
09/25/2015 21:55:45,0,1.53846157,0,0.7692308,0.5769231,50,48,50,48,1197.02112,1197.02112,1197.02112,1197.02112,133.00235
09/25/2015 21:55:50,1.53846157,6.923077,3.84615374,8.461538,5.19230747,49,49,51,49,1197.02075,1197.02075,1197.02075,1197.02075,133.0023
